country,source,source_url,continent,resolution,update_frequency,region_data,starting_date
Montenegro,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-05
Poland,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-01
Ireland,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-01
Lithuania,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-04
Czech Republic,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-01
Georgia,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2021-12-20
Luxembourg,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2021-05-25
Croatia,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2019-01-01
Sweden,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-05
Finland,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-01
Slovakia,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-01
Latvia,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-01
Hungary,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-01
Belgium,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-01
Bulgaria,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-01
Ukraine,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2021-09-01
Netherlands,Entsoe,https://transparency.entsoe.eu/generation/r2/actualGenerationPerProductionType/show,Europe,Hourly,Hourly,Not Available,2015-01-01
Argentina,CAMMESA,https://cammesaweb.cammesa.com/programacion-diaria/,South America,Hourly,Daily,Available,2005-12-01
El Salvador,Unidad de Transacciones,https://estadistico.ut.com.sv/OperacionDiaria.aspx,North America,Hourly,Daily,Not Available,2011-08-01
Uruguay,UTE,https://apps.ute.com.uy/SgePublico/ConsHistBalancePotXFuente.aspx,South America,Hourly,Daily,Not Available,2004-01-01
