year,month,country,type,value,iea
2019,1,Austria,coal,0.11,0.37
2019,1,Austria,fossil,1.7,2.1
2019,1,Austria,gas,1.58,1.67
2019,1,Austria,hydro,2.92,3.14
2019,1,Austria,nuclear,0.0,0.0
2019,1,Austria,oil,0.0,0.07
2019,1,Austria,other,0.27,0.47
2019,1,Austria,renewables,4.18,4.5
2019,1,Austria,solar,0.04,0.05
2019,1,Austria,total,5.88,6.61
2019,1,Austria,wind,0.95,0.84
2019,1,Belgium,coal,0.0,0.2
2019,1,Belgium,fossil,2.68,3.01
2019,1,Belgium,gas,2.68,2.79
2019,1,Belgium,hydro,0.17,0.14
2019,1,Belgium,nuclear,2.37,2.9
2019,1,Belgium,oil,0.0,0.01
2019,1,Belgium,other,1.05,0.6
2019,1,Belgium,renewables,2.01,1.69
2019,1,Belgium,solar,0.06,0.07
2019,1,Belgium,total,7.06,7.6
2019,1,Belgium,wind,0.73,0.88
2019,1,Bulgaria,coal,2.3,1.82
2019,1,Bulgaria,fossil,2.57,2.08
2019,1,Bulgaria,gas,0.27,0.24
2019,1,Bulgaria,hydro,0.29,0.27
2019,1,Bulgaria,nuclear,1.56,1.49
2019,1,Bulgaria,oil,0.0,0.02
2019,1,Bulgaria,other,0.02,0.17
2019,1,Bulgaria,renewables,0.49,0.65
2019,1,Bulgaria,solar,0.05,0.05
2019,1,Bulgaria,total,4.62,4.21
2019,1,Bulgaria,wind,0.13,0.16
2019,1,Croatia,coal,0.15,0.15
2019,1,Croatia,fossil,0.5,0.51
2019,1,Croatia,gas,0.33,0.36
2019,1,Croatia,hydro,0.45,0.47
2019,1,Croatia,nuclear,0.0,0.0
2019,1,Croatia,oil,0.01,0.0
2019,1,Croatia,other,0.05,0.06
2019,1,Croatia,renewables,0.67,0.69
2019,1,Croatia,solar,0.0,0.0
2019,1,Croatia,total,1.17,1.2
2019,1,Croatia,wind,0.16,0.16
2019,1,Czech Republic,coal,3.75,3.9
2019,1,Czech Republic,fossil,4.42,4.45
2019,1,Czech Republic,gas,0.66,0.54
2019,1,Czech Republic,hydro,0.41,0.33
2019,1,Czech Republic,nuclear,2.59,2.59
2019,1,Czech Republic,oil,0.0,0.01
2019,1,Czech Republic,other,0.49,0.38
2019,1,Czech Republic,renewables,1.04,0.84
2019,1,Czech Republic,solar,0.05,0.05
2019,1,Czech Republic,total,8.04,7.88
2019,1,Czech Republic,wind,0.09,0.08
2019,1,Denmark,coal,0.8,0.69
2019,1,Denmark,fossil,1.22,1.05
2019,1,Denmark,gas,0.39,0.34
2019,1,Denmark,hydro,0.0,0.0
2019,1,Denmark,nuclear,0.0,0.0
2019,1,Denmark,oil,0.03,0.03
2019,1,Denmark,other,0.68,0.79
2019,1,Denmark,renewables,2.24,2.37
2019,1,Denmark,solar,0.01,0.02
2019,1,Denmark,total,3.46,3.42
2019,1,Denmark,wind,1.55,1.56
2019,1,EU27&UK,coal,52.86,56.99
2019,1,EU27&UK,fossil,110.82,131.92
2019,1,EU27&UK,gas,55.8,70.2
2019,1,EU27&UK,hydro,28.23,28.4
2019,1,EU27&UK,nuclear,75.12,76.12
2019,1,EU27&UK,oil,2.16,4.74
2019,1,EU27&UK,other,18.51,20.24
2019,1,EU27&UK,renewables,92.13,96.49
2019,1,EU27&UK,solar,3.52,4.15
2019,1,EU27&UK,total,278.06,304.54
2019,1,EU27&UK,wind,41.86,43.7
2019,1,Estonia,coal,0.03,0.78
2019,1,Estonia,fossil,0.89,0.79
2019,1,Estonia,gas,0.0,0.01
2019,1,Estonia,hydro,0.0,0.0
2019,1,Estonia,nuclear,0.0,0.0
2019,1,Estonia,oil,0.85,0.0
2019,1,Estonia,other,0.07,0.21
2019,1,Estonia,renewables,0.13,0.27
2019,1,Estonia,solar,0.0,0.0
2019,1,Estonia,total,1.02,1.06
2019,1,Estonia,wind,0.06,0.06
2019,1,Finland,coal,1.41,1.18
2019,1,Finland,fossil,2.11,1.93
2019,1,Finland,gas,0.7,0.71
2019,1,Finland,hydro,0.95,0.96
2019,1,Finland,nuclear,2.08,2.07
2019,1,Finland,oil,0.0,0.03
2019,1,Finland,other,0.92,1.48
2019,1,Finland,renewables,2.31,2.92
2019,1,Finland,solar,0.0,0.0
2019,1,Finland,total,6.51,6.92
2019,1,Finland,wind,0.44,0.47
2019,1,France,coal,0.43,1.06
2019,1,France,fossil,6.18,6.79
2019,1,France,gas,5.58,5.25
2019,1,France,hydro,5.46,5.06
2019,1,France,nuclear,40.03,40.16
2019,1,France,oil,0.16,0.48
2019,1,France,other,0.45,0.97
2019,1,France,renewables,9.1,9.51
2019,1,France,solar,0.45,0.47
2019,1,France,total,55.3,56.46
2019,1,France,wind,2.74,3.01
2019,1,Germany,coal,17.72,19.8
2019,1,Germany,fossil,21.29,29.2
2019,1,Germany,gas,3.4,8.95
2019,1,Germany,hydro,2.13,2.18
2019,1,Germany,nuclear,6.64,6.82
2019,1,Germany,oil,0.17,0.45
2019,1,Germany,other,4.51,4.56
2019,1,Germany,renewables,22.11,21.44
2019,1,Germany,solar,0.73,0.78
2019,1,Germany,total,50.03,57.46
2019,1,Germany,wind,14.73,13.91
2019,1,Greece,coal,1.41,1.46
2019,1,Greece,fossil,3.57,3.55
2019,1,Greece,gas,2.16,1.67
2019,1,Greece,hydro,0.4,0.48
2019,1,Greece,nuclear,0.0,0.0
2019,1,Greece,oil,0.0,0.42
2019,1,Greece,other,0.0,0.05
2019,1,Greece,renewables,1.15,1.42
2019,1,Greece,solar,0.17,0.21
2019,1,Greece,total,4.72,4.97
2019,1,Greece,wind,0.58,0.68
2019,1,Hungary,coal,0.39,0.38
2019,1,Hungary,fossil,1.36,1.41
2019,1,Hungary,gas,0.98,1.03
2019,1,Hungary,hydro,0.02,0.02
2019,1,Hungary,nuclear,1.44,1.44
2019,1,Hungary,oil,0.0,0.01
